Country Name,population_density
Russian Federation,8.822079555
Rwanda,498.6598703
South Asia,380.2471337
Saudi Arabia,15.67665431
Sudan,
Senegal,82.34747832
Singapore,7952.998418
Solomon Islands,23.32468739
Sierra Leone,105.987171
El Salvador,309.8814672
San Marino,563.0833333
Somalia,23.9234769
Serbia,79.83174022
Sub-Saharan Africa (excluding high income),50.75862834
South Sudan,
Sub-Saharan Africa,50.76208431
Small states,16.22446282
Sao Tome and Principe,219.8208333
Suriname,3.69225
Slovak Republic,113.2905782
Slovenia,102.6398595
Sweden,25.00104343
Eswatini,66.05761628
Sint Maarten (Dutch part),
Seychelles,210.3521739
Syrian Arab Republic,92.06710777
Turks and Caicos Islands,39.64736842
Chad,12.29173364
East Asia & Pacific (IDA & IBRD countries),130.185453
Europe & Central Asia (IDA & IBRD countries),20.01725666
Togo,145.0467733
Thailand,135.8972068
Tajikistan,65.57271417
Turkmenistan,12.45059477
Latin America & the Caribbean (IDA & IBRD countries),31.41414444
Timor-Leste,85.27047747
Middle East & North Africa (IDA & IBRD countries),43.81292975
Tonga,143.3291667
South Asia (IDA & IBRD),380.2471337
Sub-Saharan Africa (IDA & IBRD countries),50.76208431
Trinidad and Tobago,270.9274854
Tunisia,74.44132338
Turkey,106.9601289
Tuvalu,383.6
Tanzania,63.5790788
Uganda,213.0617345
Ukraine,77.02966735
Upper middle income,45.46917663
Uruguay,19.70802765
US,35.76608858
Uzbekistan,77.46920545
St. Vincent and the Grenadines,282.5897436
"Venezuela, RB",32.73079191
British Virgin Islands,198.68
Virgin Islands (U.S.),305.6485714
Vietnam,308.1252459
Vanuatu,24.00984413
World,59.63623626
Samoa,69.30388693
Kosovo,
"Yemen, Rep.",53.97785291
South Africa,47.63011978
Zambia,23.3414789
Zimbabwe,37.32459093
